,n_cells
EEF1GP7,1133
USH2A-AS1,410
GUSBP5,32066
ENSG00000236299,796
LINC02646,408046
ENSG00000236304,2397
SLC12A9-AS1,85426
LINC01241,2215
EEF1E1P1,2909
ENSG00000236308,7008
TLX1NB,4117
RPL34P34,5403
ENSG00000236317,234
ENSG00000236319,8329
SLFN14,23733
SNX9-AS1,41132
RPL32P5,3504
ENSG00000236326,601
ENSG00000236327,309
ENSG00000236332,1850
TRHDE-AS1,972
PPIAL4G,3487
CDYL-AS1,258
GRM8-AS1,1708
ENSG00000236341,1226
SCAT8,3488
ENSG00000236347,5980
PSMC1P10,735
SUCLG2P2,4970
ENSG00000236352,4875
LINC00437,2901
ENSG00000236356,1964
ENSG00000236358,237556
RRAS2P1,6877
ENSG00000236364,4557
ENSG00000236366,10002
LINC02653,17233
ENSG00000236376,426
ENSG00000236377,13912
CCDC200,414213
LINC00479,267
ENSG00000236385,249
ENSG00000236387,381
ITCH-AS1,9270
ENSG00000236390,531
ENSG00000236391,5045
ENSG00000236393,4424
DDX11L2,18617
ENSG00000236403,39517
VLDLR-AS1,55448
HMGB1P18,308
ENSG00000236408,729
NRADDP,35307
NDUFAF4P3,1368
ENSG00000236414,210
CTSLP1,1176
LINC01134,82779
ENSG00000236426,17905
CCDST,9519
KRT8P29,500
MFF-DT,235471
ENSG00000236434,4185
FAM157A,1663
ENSG00000236439,9535
UBE2L5,17056
LINC00608,9436
ENSG00000236449,1833633
ENSG00000236451,19491
ENSG00000236452,1618
ENSG00000236453,13356
ENSG00000236456,9655
ENSG00000236461,893
LINC00427,15734
RCAN2-DT,12639
KCNMA1-AS1,23500
EEF1A1P44,275
ENSG00000236469,87307
ENSG00000236472,42747
KRT43P,231
TRIM26BP,796
ENSG00000236478,7922
PKMP1,4841
LINC02195,25245
MTND2P40,1313
ENSG00000236491,819
EIF2S2P3,50114
ENSG00000236494,2353
ENSG00000236495,771
GPS2P1,3505
LINC01744,2487
ENSG00000236498,72407
LINC00896,22104
ENSG00000236501,7876
ENSG00000236504,13146
ATP13A5-AS1,353
LINC01231,1220
ENSG00000236512,1509
ENSG00000236513,537
ENSG00000236514,51852
LINC01424,36123
GPC6-AS1,1407
NPM1P40,2022
BTBD3-AS1,5337
ARF4P2,811
ENSG00000236528,38864
ENSG00000236529,1827
KPNA2P1,2727
ENSG00000236531,6095
LINC01695,69203
RPS12P4,355
ENSG00000236536,200
HNRNPA1P54,21470
ENSG00000236540,91357
MED28P7,3758
ENSG00000236543,284
EN2-DT,945
ENSG00000236545,406
MYCL-AS1,882
RNF217-AS1,313492
RPS27AP7,1841
ENSG00000236550,2548
RPL13AP5,68064
ASNSP3,300
ENSG00000236555,1063
BCL2L1-AS1,1728206
IFITM3P1,287
YWHAQP5,7147
HNRNPA3P5,10447
RAD23BP1,24071
ENSG00000236572,27453
STARD13-AS,62571
PRPF38AP2,1222
ENSG00000236583,976
UST-AS2,25774
CRLF3P1,236
RANP1,9893
EIF4A1P6,1062
ZNF853,94994
LINC02556,7606
CHFR-DT,20460
PITPNA-AS1,68685
ENSG00000236627,1084
LINC02540,5324
ENSG00000236641,697
ENSG00000236643,565
LINC02810,3625
DLX2-DT,316
LINC01923,3117
ENSG00000236654,268
ENSG00000236656,663
FIBCD1-AS1,402
PRKG1-AS1,6815
MTX1P1,3919
ENSG00000236676,8742
SETD4-AS1,3424
LINC00347,670
ENSG00000236680,1341
MAP3K2-DT,79168
HMGA1P1,1067
BZW1P1,3710
ENSG00000236687,206
MTCO2P21,275
HNRNPA1P47,750
EIF1AXP1,14504
ARHGEF38,49988
LINC01010,120433
MYB-AS1,912
SDK1-AS1,13509
ENSG00000236710,4045
ENSG00000236712,2075
LINC01844,1984
ENSG00000236717,2797
OVAAL,5652
LINC01741,295
ENSG00000236722,2595
ENSG00000236723,205323
ENSG00000236724,912
ENSG00000236732,1049
ENSG00000236733,5085
RPL31P63,1450
UQCRC2P1,568
CLIC4P1,3742
YRDCP2,512
LINC01282,22026
LINC01186,36346
MKLN1-AS,64784
ENSG00000236754,23247
DNAJC9-AS1-1,90263
MTUS2-AS2,1098
ENSG00000236760,96348
CTAGE9,1259
RPL19P16,1447
ENSG00000236768,523
LINC02659,891
ENSG00000236770,404
ENSG00000236772,26948
ENSG00000236773,1754
ENSG00000236775,486
INTS6-AS1,392463
ENSG00000236779,503
LINC01829,293020
ZNF593OS,808
SDR42E1P5,2182
LINC00299,1279922
ENSG00000236792,275
BCRP8,388
CNTNAP2-AS1,1625
ENSG00000236796,70345
SPA17P1,215
LINC02626,7718
ENSG00000236800,7029
RPL7AP15,6184
ENSG00000236807,1044
SNX25P1,4136
ELOA-AS1,1036057
GAPDHP2,276
BTF3P8,865
ENSG00000236814,11934
ANKRD20A7P,14792
ENSG00000236817,9626
LINC01563,3728
LINC00529,1445
ENSG00000236829,244178
CBR3-AS1,377832
ENSG00000236833,3814
PCYT1B-AS1,5541
ENSG00000236838,2149
ENSG00000236841,1855
ENSG00000236842,2524
ENSG00000236844,1357
LINC01474,11121
SSBL2P,11996
LINC00486-1,1455
ENSG00000236856,2402
RAP1BP1,1941
ENSG00000236858,314
NIFK-AS1,1534554
BET1-AS1,33772
RPS20P24,504
RPL23AP23,509
ENSG00000236864,611
TENT5C-DT,1268
ENSG00000236867,353
ZKSCAN7-AS1,547032
LINC00106,1166282
TMSB4XP1,17166
MTATP6P26,501
LINC01554,30628
ENSG00000236885,4063
ENSG00000236887,338
ENSG00000236889,304
ENSG00000236892,1461
LINC03028,23676
ENSG00000236896,1788
TIMM9P1,266
MIR600HG,1517
ENSG00000236905,480
LINC02827,675
ENSG00000236911,16884
LINC01852,30714
CLCA4-AS1,199396
DNAJA1P2,242
ENSG00000236921,464
LINC01378,20651
ENSG00000236924,92249
ENSG00000236928,21038
RPL35AP37,2112
ENSG00000236935,266172
ENSG00000236936,2767
ENSG00000236938,544
BAALC-AS2,10865
ENSG00000236940,1631
ENSG00000236942,5658
HNRNPA1P70,46854
ENSG00000236948,346362
NF1P8,1260
ENSG00000236957,222
SULT1D1P,637
ENSG00000236961,596
LINC01141,2987
OR52N3P,686
ENSG00000236968,395
GGT8P,56918
FABP5P1,4709
GAPDHP51,205
LINC02814,32631
RPL6P20,1401
C3orf84,3589
ENSG00000236986,163804
CTDSPL2P1,379
ENSG00000236989,2369
ENSG00000236990,353646
EDRF1-AS1,10534
RPL12P12,4721
GAPDHP21,210
ENSG00000236998,1107
PTMAP6,340
WASF3-AS1,4305
ENSG00000237002,6125
RPL36AP11,1017
ZNRF2P1,90284
KRT18P52,3626
GLIS3-AS1,1036
ENSG00000237011,1549
LINC01812,1224
ENSG00000237015,1600
PRPF31-AS1,12643
ENSG00000237019,6873
PARD6BP1,631
ENSG00000237026,2020
ENSG00000237027,1473
ENSG00000237031,3836
CASP3P1,498
ZEB1-AS1,442607
NDUFA6-DT,661358
RPL27P8,258
RPL34P1,7404
PRMT5-AS1,13345
LINC02087,10202
MMEL1-AS1,831
ENSG00000237063,1430
ENSG00000237070,759
ENSG00000237073,25595
LINC02942,17778
ENSG00000237076,20555
RPL38P2,1409
EHMT2-AS1,9115
RPL7AP48,416
PCNPP4,330
MKRN8P,1975
LINC01065,1976
ENSG00000237101,17108
FABP5P15,258
RPL21P111,788
CYP2F2P,5188
LINC01056,349
PIEZO1P2,2867
HAND2-AS1,10514
ENSG00000237126,39029
LINC02652,103622
MTCYBP34,613
C4orf51,38510
RPS26P41,1473
ZNF503-AS2,15993
ENSG00000237153,25568
MCFD2P1,220
CNTFR-AS1,516
ENSG00000237161,29635
SLC25A15P2,420
LINC01792,2458
ENSG00000237167,2012
RPL12P27,14623
RPS7P15,3775
B3GNT9,38521
ENSG00000237174,5517
NME1P1,298
ENSG00000237176,1297
LINC01797,339
PRKAR1B-AS1,383595
NR2F1-AS1,19585
ENSG00000237188,1344646
CDKN2AIPNL,262458
RPL7P34,1230
SETP4,1033
RPL23AP22,346
ENSG00000237214,7344
ENSG00000237220,280
PPEF1-AS1,434
LINC01968,10048
SULT1C2P1,521
ENSG00000237224,1698
RPS3AP39,255
ZNF295-AS1,28238
TMEM26-AS1,12398
ENSG00000237234,565
BMS1P10,3588
CREB3L2-AS1,2150
LINC00987,782384
ENSG00000237250,6866
ENSG00000237251,10709
MMADHCP1,696
TRBV30,15130
PPIAP67,5221
ENSG00000237262,482
MAPK6P3,3084
FTH1P11,8852
ENSG00000237268,577
ENSG00000237271,562
OR51R1P,14101
GTF3AP1,255
ANO7L1,45026
RLIMP2,3061
CATIP-AS2,47207
ENSG00000237283,1597
HNRNPA1P2,9171
CARD11-AS1,16927
CKMT1B,617
LINC01732,10897
ENSG00000237293,405
EIF4BP9,661
SMG1P1,535494
TTN-AS1,3016026
ENSG00000237299,622
MTCO1P19,2568
ENSG00000237301,13522
HIGD1AP8,911
SRRM1P3,93654
LINC03011,67942
ENSG00000237311,91553
ENSG00000237312,11079
RPL12P39,435
ENSG00000237316,429
ENSG00000237317,1028
ENSG00000237324,4412
ENSG00000237325,246
ENSG00000237326,246
RAI1-AS1,26287
ENSG00000237329,692
RNF223,1234
XIAP-AS1,13580
ENSG00000237336,1902
ELAVL4-AS1,381
LINC01502,601
SYP-AS1,12737
ENSG00000237343,821
ENSG00000237345,241
ENSG00000237346,3989
ENSG00000237347,1058
CDC42P6,24317
ITPK1P1,13912
LINC01358,1117609
PATE4,331
ENSG00000237356,2205204
FAM88E,1109
ENSG00000237359,692591
TUSC8,4384
ENSG00000237365,477
ENSG00000237372,32113
ENSG00000237377,269
HOXD-AS2,281
RPL21P121,1649
ENSG00000237385,317
ENSG00000237387,2763
ENSG00000237390,347
LNCNEF,551
HLA-DPA3,181957
PITRM1-AS1,172307
ENSG00000237400,20051
LINC01304,1703
ART2BP,1424
NRXN2-AS1,2369
PRSS56,441
MGC27382,21014
NRBF2P3,12599
XRCC6P1,2984
ENSG00000237419,274
ENSG00000237422,63316
LINC01522,1220
FOXD2-AS1,33514
ZIK1P1,202
ENSG00000237429,27915
RPS7P12,1851
RPSAP11,254
ENSG00000237434,603
LINC02790,3209
CAMTA1-DT,21008
ASS1P12,201
CECR7,17664
ZNF737,1233786
RGL2,348011
HNRNPA1P57,952
ENSG00000237444,3192
ENSG00000237445,1659
RHEBP3,981
CDC27P2,704
MEIOSIN,6444
ENSG00000237453,1379
ID2B,289
LINC01661,8625
ENSG00000237461,369676
LRRC52-AS1,8394
DCLRE1CP1,14006
ENSG00000237471,78653
ENSG00000237473,9390
LINC01637,103986
ENSG00000237477,5101
ENSG00000237480,13814
ENSG00000237481,209042
RPS27AP8,405
LINC01684,1311357
C10orf143,760084
LINC01409,742589
OR2L9P,1819
ENSG00000237493,7165
LINC02919,283
ENSG00000237498,5271
WAKMAR2,1846534
PKN2-AS1,411957
RPSAP15,6559
GPAT2P1,2056
UNC5B-AS1,220
SHISA9,40481
CELSR1P1,4250
LINC02971,3641
NONOP2,69524
LINC00857,482
TEX51,4862
ENSG00000237525,53328
ENSG00000237527,3533
ENSG00000237529,9835
ENSG00000237530,1228
ENSG00000237531,78773
ENSG00000237532,307
HLA-DQA2,386427
ENSG00000237550,367176
ENSG00000237551,680
LINC02567,514
LINC01497,1478
LINC02836,6010
ENSG00000237568,533657
LINC02862,252
LINC01856,3166
LINC01888,67197
LINC01514,3901
ENSG00000237581,379
RAC1P4,544
LINC00407,32511
ENSG00000237586,507
ENSG00000237588,1069
HMGN1P32,528
TIAM1-AS1,2106
LINC01275,2022
ENSG00000237596,131159
HMGB3P12,592
DYRK3-AS1,628
LINC02943,749
ENSG00000237612,3241
OR9A1P,605
NICN2P,229
ENSG00000237626,32997
MTCO2P19,16611
ENSG00000237633,68619
ANKRD26P3,10158
FRY-AS1,46473
LINC02245,1915693
ENSG00000237640,8556
RPL28P2,349
HMGB3P5,289
LINC01610,1614
KIFC1,31008
C2orf74,686214
ENSG00000237654,4794
ENSG00000237655,1492
DNAJC19P7,258
LINC00316,1172
ENSG00000237666,4849
LINC01115,32826
RPS15AP38,9762
ENSG00000237669,11447
LINC01866,249
KRR1P1,8069
RPL30P4,540
VDAC1P11,1139
PRKCIP1,1458
ENSG00000237685,1106
SCIRT,31917
IRGM,155486
TRBV3-1,28167
ENSG00000237704,1379
ENSG00000237705,135031
SPIN2P1,1675
EEF1A1P28,1711
ENSG00000237713,3835
P4HA2-AS1,970
ENSG00000237716,320
ENSG00000237718,9828
ENSG00000237719,1388
ENSG00000237720,11193
CAMTA1-AS2,1014
ENSG00000237729,4468
CT75,571
ENSG00000237734,15159
ENSG00000237735,2005
DCTN1-AS1,4001
NPAP1P3,328
HEY2-AS1,15777
FBP2P1,3952
RPL22P8,1212
ZNF101P1,260
UQCRBP1,3204
ENSG00000237749,837
KCNH7-AS1,1263
LINC01143,1035
SLC20A1-DT,159572
ENSG00000237756,1296
BANF1P3,1782
ENSG00000237760,9311
ENSG00000237761,4199
AMY1A,284
FAM200B,545184
GGTA2P,3752
ENSG00000237768,3696
LINC02631,165374
ENSG00000237773,958102
ENSG00000237774,1097
DDR1-DT,4111
ADAMTSL4-AS2,576430
GFOD1-AS1,1095
LINC02877,16878
LINC01318,366
RPL18AP16,416
MACORIS,27391
ENSG00000237798,27347
AMD1P2,266
LINC00211,12103
HNRNPA1P39,522
FAUP2,231
LINC02984,3561
ENSG00000237813,134611
RPS3AP29,27823
CDK6-AS1,30419
ST13P7,17201
PA2G4P1,6311
PHKA2-AS1,12377
FAM21FP,62290
SMU1P1,9303
ENSG00000237843,2024
ENSG00000237844,41639
ENSG00000237845,391
ENSG00000237846,406
NFYAP1,239
ENSG00000237851,18229
NFIA-AS1,708
LINC00674,336944
ENSG00000237861,10195
ENSG00000237862,2043
LINC00322,505
ENSG00000237868,290
POU5F1P4,930
ENSG00000237874,478
LINC01473,4229989
LINC00398,65030
LINC01885,27756
PPIAP13,7616
DGUOK-AS1,146298
NALT1,21455
ENSG00000237896,850
ENSG00000237897,1065
ENSG00000237899,100139
MUPP,358
SRP68P3,383
SIRPG-AS1,17997
PARP4P1,20324
LRRC7-AS1,1595
ENSG00000237920,3118
ENSG00000237922,741
LINC02570,2131
RPL21P112,277
ENSG00000237927,31519
NFIA-AS2,14925
CLIC4P3,2065
ENSG00000237934,542
LINC02702,726
ENSG00000237938,75504
IDI1P1,250
LINC01238,215192
PRKCQ-AS1,4059459
LINC00649,2564240
MTATP6P20,505
LINC00844,3458
LINC02918,68347
PPIL1P1,852
RPL7AP73,228
ENSG00000237954,1945
ENSG00000237955,525
ENSG00000237961,1137
PRXL2CP1,385
TMEM161BP1,330
ENSG00000237971,5235
TUBG1P,1800
MTCO1P12,274609
FLG-AS1,194165
RFX5-AS1,14205
KCNMB2-AS1,221348
DNAJB12P1,205
LINC02773,71428
PTENP1,26073
CELF2-AS2,2343
OR2I1P,17808
LINC01679,40547
CNTN4-AS1,4660
RPL35P1,1156
LINC01808,2291
ENSG00000237993,2446
ACTG1P19,762
PSME2P1,8235
NPAP1P6,441
RPL10P4,417
LNCATV,79923
ENSG00000238009,58123
ENSG00000238015,221012
SPTBN1-AS2,66554
ENSG00000238019,326
HTR3E-AS1,8443
ODAD2P1,9008
DDX39BP2,239
ZDHHC4P1,9312
RALBP1P2,1017
ENSG00000238031,689
ENSG00000238034,1083
ENSG00000238035,11886
ATP6V0E1P3,971
SALL4P2,1258
LINC02257,45763
ENSG00000238043,2172
MVP-DT,1121270
ENSG00000238054,943
ZEB2-AS1,198663
CAMSAP1-DT,639859
SPATA3-AS1,4069
LINC01685,29182
CDC26P1,3735
ENSG00000238081,700
LRRC37A2,1041925
ENSG00000238084,314
PPP1R26P1,4971
FMO8P,866
ENSG00000238094,1525
LINC02037,760
ABCA17P,63952
LINC01625,10652
GOLGA2P5,214391
RNF14P3,977
ENSG00000238110,396
LINC01410,377683
RAD21P1,8942
ENSG00000238117,5257
SLC25A24P2,288
LINC01589,8355
LINC00426,1074037
ENSG00000238122,611
MID1IP1-AS1,55295
ENSG00000238124,533
ENSG00000238129,409
LINC02854,1469
GOLM2P1,4457
MAP3K20-AS1,123523
USP9YP10,298
ARPC3P2,1998
ENSG00000238140,7650
BRWD1-AS1,37455
ENSG00000238142,118483
ENSG00000238149,369
USP9YP4,673
LINC02863,224211
TNFRSF14-AS1,411738
IFITM3P5,539
LINC01053,536
ENSG00000238171,6767
RPS2P35,565
ENSG00000238176,922
ENSG00000238178,1961
RPL21P34,2840
CD81-AS1,94784
ENSG00000238186,1625
HADHBP1,379
PAXBP1-AS1,675671
LRIG2-DT,226093
UBE2V2P3,1785
ENSG00000238201,249
MPC1L,501
ENSG00000238207,61910
LINC02096,8322
TARDBPP2,5136
LINC01877,16582
ENSG00000238220,6080
ENSG00000238221,223317
MKRN4P,4017
TMEM250,399190
OR7E7P,22762
LINC00391,369
CCR12P,11328
LINC02778,1104
OR2W3,1157
ENSG00000238246,34582
RDXP3,3554
HMGN2P17,1409
NSA2P7,2612
ENSG00000238258,13270
ENSG00000238260,67732
RPL21P88,769
LINC00317,1584
LINC00707,8883
ENSG00000238267,3028
PAGE2B,2856
ENSG00000238272,3928
ENSG00000238273,94172
LINC02944,1456
ALG1L6P,8793
ENSG00000238279,5628
ENSG00000238280,211518
ENSG00000238282,2599
TBC1D3P1,999
LINC01448,1233
MRPL50P2,277
EXO5-DT,703847
ERRFI1-DT,18495
ENSG00000238316,254
RN7SKP198,2752
ENSG00000238358,638
Y_RNA-629,397
Y_RNA-633,2122
ENSG00000238645,2338
RNY4P25,673
LINC02006,87054
LINC02031,505
ENSG00000239005,419
SNORD13D,446
SNORD13,3177
ENSG00000239041,884
ENSG00000239079,622
Y_RNA-649,217
ENSG00000239129,276
RPL5P22,3991
RPL22P20,790
RPL21P106,10922
LINC02023,757
GAPDHP39,1182
RPS26P55,664
NCK1-DT,1211184
ENSG00000239219,21418
RN7SL442P,5095
RPL34P31,14827
ENSG00000239246,502
ENSG00000239254,2633
RPL35AP35,1882
RPL23AP1,44876
TXNDC5,660620
CLRN1-AS1,21611
ENSG00000239268,15756
RPSAP4,1168
CASTOR1,43170
OR9P1P,358
ENSG00000239300,366161
RNF103,954826
RBM14,2708087
ENSG00000239311,6008
MORC1-AS1,4261
RPL35AP17,560
RN7SL854P,4888
ENSG00000239323,534
LINC01119,31648
RN7SL658P,206
LLPH-DT,71695
ENSG00000239374,720
ZNF775-AS1,1775
ENSG00000239381,18041
ALKBH6,350888
ASB14,78733
TMED10P2,319
ENSG00000239407,173997
RPL21P71,1454
KCNMB3P1,899
RN7SL752P,3281
LINC02008,98442
PABPC1P10,388
ST3GAL6-AS1,44545
SIDT1-AS1,29693
LINC02047,257
ENSG00000239455,2260
ENSG00000239462,17730
ENSG00000239465,5570
RN7SL569P,3208
ENSG00000239470,3069
RPL7P38,474
KLHL41,27626
ENSG00000239480,23311
ENSG00000239482,6330
RPS15AP16,641
ENSG00000239486,128391
RN7SL333P,1244
ENSG00000239498,27384
MARK2P8,1828
PLCH1-AS1,432
RPL9P5,845
LINC01210,1441
CADM2-AS1,5286
CASTOR3P,1165699
MYLK-AS1,1024073
RPL32P34,219
RPS14P8,758
ENSG00000239532,611
GOLGA2P2Y,1611
ENSG00000239544,1113
HOXB-AS2,400
UPK3BL3P,4745
RPL37P2,739
KMT2E-AS1,230218
IGKV2D-30,963
ENSG00000239572,23354
LINC00879,26141
OR1J4,2867
ENSG00000239593,8974
RPL35AP16,3336
STPG4,482247
RUVBL1-AS1,9550
HMGN1P7,1234
RPL32P27,1297
PRR20G,976
RPSAP41,9461
ENSG00000239628,2039
TFAP2E-AS1,155441
PLS1-AS1,364
MEIKIN,581837
MYADML,1345
GUSBP4,70269
PSMD6-AS2,2016208
RPL9P31,284
ENSG00000239670,3386
ENSG00000239671,212
NME1,314396
ENSG00000239674,1417
ENSG00000239686,864
ENSG00000239696,494
TNFSF12,635743
HNRNPA3P8,405
CDRT4,911621
HSPA5-DT,20322
APOBEC3G,1991973
HLTF-AS1,4596
ENSG00000239719,702
RN7SL825P,585
TLR9,756
CEACAMP3,21938
RN7SL672P,1309
ENSG00000239763,294689
ENSG00000239767,324
TTC14-DT,28979
WBP1,473646
MRPS17,55362
ENSG00000239791,75187
RPL21P39,18348
ITIH4-AS1,3259
DENND6A-AS1,232921
ENSG00000239804,278
IGKV1D-8,990
RN7SL513P,2486
SUGT1P3,726630
CCDC54-AS1,56823
RPS4XP22,2802
ENSG00000239835,3222
RPL23AP72,5765
IGKV1-6,1223
RN7SL225P,724
GET4,83051
RN7SL34P,1447
ENSG00000239870,533
RPL35AP19,262
GAPDHP27,713
IGSF11-AS1,275
RALBP1P1,5729
RPS27P25,6983
PARGP1,1695999
C1orf226,3623
ZNF736P9Y,3436
ADSL,1138581
ENSG00000239906,2196
PRKAG2-AS1,63622
RPS10P16,550
ENSG00000239920,2204367
LINC01471,20302
ENSG00000239922,4233
LINC02917,311077
ZBTB20-AS3,9994
IGKV3-20,21150
RN7SL51P,1319
ENPP7P2,39942
LILRA4,58282
RN7SL748P,469
IGKV1D-33,328
ENSG00000239983,246
ENSG00000239985,5401
ENSG00000239991,590
TRBVA,392
ENSG00000239994,222
FCF1P3,476
LILRA2,618854
YBX1P3,529
STIM2-AS1,6057
LINC02004,2218
SLC9A9-AS1,38667
TEX35,178091
LINC00888,27124
OR9A3P,1310
ENSG00000240033,753
ENSG00000240036,1445
AMY2B,1715382
ENSG00000240040,505977
STRIT1,217
RPS3AP32,6386
ENSG00000240052,393
LY6G5B,342502
ENSG00000240056,519
NEPRO-AS1,1236233
ATP11B-DT,9479
PSMB9,4460175
RPL21P42,954
RPL9P30,963
RPS3AP22,883
ENSG00000240086,34554
RPSAP12,14421
BMS1P3,322
ENSG00000240093,108196
ENSG00000240096,240
NCOR1P1,2554
FABP5P11,458
RPL23AP75,665
ETF1P2,7556
PSMD12P1,1142
ERICH6-AS1,342607
ENSG00000240143,172990
LINC02271,551
RPL36AP44,371
RPS7P7,730
ENSG00000240174,283
MAGI1-AS1,3830
PCDHGC3,7533
ARHGEF3-AS1,10250
SMKR1,37383
PPP1R35-AS1,10836
CPHL1P,19455
ENSG00000240219,122871
ZNF542P,163504
COX19,2083521
RPS27P29,215
HNRNPA1P23,2740
ENSG00000240237,213
ENSG00000240238,1708
ENSG00000240240,2094
ENSG00000240241,1277
GAPDHP33,3971
FAR2P3,1245
B4GALT4-AS1,39134
MOXD2P,504
TCAM1P,5938
MEAF6P1,584
GHRLOS,691236
ENSG00000240291,1470782
ENSG00000240296,271
RN7SL187P,2281
RN7SL717P,296
ACAD11,1709735
RPL6P26,579
ENSG00000240311,562
RN7SL764P,3766
RPS29P27,288
RPS2P5,153280
PPIL3,733741
SOCAR,115859
RPL23AP7,114855
RPL36AP45,3835
RPS4XP13,1714
SEC62-AS1,19564
ENSG00000240376,21037
IGKV1-17,1403
RPL5P23,1156
ENSG00000240401,811232
KIR3DL2,70773
ENSG00000240404,281
SAMMSON,32417
MTATP8P1,21859
RPL5P16,523
ENSG00000240418,1541
LINC00636,38705
RPS26P34,301
ENSG00000240440,4401
ENSG00000240441,6520
FOXO3B,128257
REPIN1-AS1,36309
RPL39P26,350
RN7SL472P,1703
ENSG00000240477,2899
ENSG00000240478,1409
ATOSBP1,2730
SETP14,31935
RN7SL277P,682
ENSG00000240497,25443
CDKN2B-AS1,309642
ENSG00000240499,12817
TNFRSF13B,400344
RPL34P18,9807
UOX,6035
ENSG00000240521,11948
RPL7AP10,931
ENSG00000240535,50385
RPL3P9,660
TM4SF1-AS1,1521
THOC7-AS1,1826
ENSG00000240553,770101
RPL7AP58,542
L1TD1,58126
LINC02067,5774
ENSG00000240571,95894
ENSG00000240579,626
AQP1,8019
KCNAB1-AS2,814
AADACP1,1328
OR2AO1P,541
RPL7P15,3052
RN7SL403P,11617
ENSG00000240634,16430
SEPTIN7P4,843
ENSG00000240652,4444
C1QTNF9,108807
BTNL12P,201550
MME-AS1,2604
ENSG00000240669,2234
IGKV1-8,1747
ENSG00000240673,621
ENSG00000240674,8958
MYL6P4,6960
ISY1,1565002
ENSG00000240687,16140
PNMA2,10186
KLF7P1,878
LINC02030,6707
ENSG00000240710,1868341
LRRD1,21453
RPS4XP15,1487
RN7SL382P,1818
RN7SL502P,1056
RPL6P22,1146
KRBOX1,3210
ENSG00000240751,6463
RPS27P21,342
PCDHGC5,1948
PLCXD2-AS1,834
C21orf91-OT1,616316
ARHGEF25,5262
ENSG00000240774,331
ENSG00000240776,1535
RPL36AP21,3030
ENSG00000240787,482
SND1-DT,9934
ENSG00000240792,8836
UBA52P8,1934
RPL21P4,895
ENSG00000240842,464
PEDS1,1197960
PSMC2P1,5633
RDH14,768784
LINC03014,64998
ENSG00000240861,307
IGKV1-16,1376
C1QTNF9-AS1,416
RN7SL128P,5226
LINC00886,1810351
NDUFB2-AS1,64290
ENSG00000240890,32393
PLCXD2,1037071
LINC02042,1326
ENSG00000240898,29855
RN7SL798P,10578
RPL15P2,932
ENSG00000240915,218
ENSG00000240919,14157
LSAMP-AS1,3800
PLGLA,8335
RN7SL591P,2630
RPL4P1,11329
ENSG00000240963,2058280
RPL23AP64,1604
MIF,897019
RPS27AP10,231
ENSG00000240980,449
HOXA11-AS,459
RPL23AP67,790
RN7SL459P,415
ENSG00000240996,10423
RN7SL183P,247
RPL32P13,482
SEPTIN7P6,13271
RPL7AP55,884
ENSG00000241026,308
ENSG00000241042,4444
ENSG00000241048,3267
RPL23AP70,352
ENSG00000241057,2227
NSUN6,3233804
RPL5P1,3976
RPL17P40,13748
ENSG00000241073,242485
RPL22P2,2946
RPL17P44,230
CYP51A1P1,2288
LINC01994,3700
RPL35AP11,288
HLA-DOB,85135
PRICKLE2-AS1,2328
UGT1A9,1962
YAE1,518853
OR14A2,2109
RPL22P19,6439
LINC02032,441
BET1P1,6814
LINC00881,15255
PAICSP6,228
ZNF722,1684
LINC02066,1601
ARHGAP31-AS1,51481
ADAMTS9-AS1,3093
LINC00877,489556
ENSG00000241168,15649
ENSG00000241169,100058
RPL31P46,1744613
ENSG00000241179,543
ENSG00000241180,224
ENSG00000241185,71699
TDGF1,984
RN7SL165P,2923
CSP2,305
ENSG00000241219,57194
ENSG00000241220,154037
C3orf85,2337
ENSG00000241231,6552
KRTAP5-8,262
RN7SL629P,756
IGKV1D-16,337
ENSG00000241255,2638
CRCP,2168336
ENSG00000241269,1406
ENPP7P4,78424
ENSG00000241280,5150
RPL34P33,3666
LINC02614,504483
PPATP1,658
IGKV2-24,2042
ZBTB20-AS2,38933
WWTR1-AS1,549
SUCLG2-DT,981985
WDR82P2,2790
FBXW10B,41415
ENSG00000241324,924
LINC02070,393
RN7SL385P,8514
LINC01487,1527
RPL36A,3298067
ENSG00000241345,3201
SNRPCP11,229
PMS2P11,17406
IGKV3-11,15771
ENSG00000241352,74599
ENSG00000241357,19640
SYNPR-AS1,5174
PDXP,128533
SLC25A24P1,69910
LINC01192,37812
RPP21,254718
LINC01997,1625
HNF1A-AS1,13730
LINC00903,995
CD302,1281019
EGFL8,93166
ENSG00000241409,13702
ENSG00000241411,3563
EEF1A1P25,4239
RPL37P6,26397
TDGF1P6,818
ENSG00000241449,24213
ENSG00000241456,996
RPL7P19,1561
RN7SL182P,870
RPL39P38,416
ATP5MF,779350
LINC00635,4380
PTPRG-AS1,30551
HSPA8P9,13922
MECOM-AS1,1946
ARHGAP8,128573
ENSG00000241489,972482
ENSG00000241490,1557135
ENSG00000241493,458
ENSG00000241494,5473
ENSG00000241505,880
PSMC1P1,38871
RPS15AP24,4714
ENSG00000241520,16225
ENSG00000241525,173017
CA15P1,39539
RN7SL767P,20839
AGGF1P3,1485
ENSG00000241537,8217
LINC02029,654
ENSG00000241546,777
GUSBP2,46004
ARPC4,2671715
